IdAudio;Izena;iraupena;irudia;mota;mp3
1;Pray You Catch Me;3.16;PrayYouCatchMe.jpg;Abestia;mp3 datuak hemen
2;Hold Up;3.41;HoldUp.jpg;Abestia;mp3 datuak hemen
3;Don't Hurt Yourself;3.54;DontHurtYourself.jpg;Abestia;mp3 datuak hemen
4;Sorry;3.52;Sorry.jpg;Abestia;mp3 datuak hemen
5;6 Inch;4.20;6Inch.jpg;Abestia;mp3 datuak hemen
6;Daddy Lessons;4.47;DaddyLessons.jpg;Abestia;mp3 datuak hemen
7;Love Drought;3.57;LoveDrought.jpg;Abestia;mp3 datuak hemen
8;Sandcastles;3.03;Sandcastles.jpg;Abestia;mp3 datuak hemen
9;Forward;1.19;Forward.jpg;Abestia;mp3 datuak hemen
10;Freedom;4.50;Freedom.jpg;Abestia;mp3 datuak hemen
11;All Night;5.22;AllNight.jpg;Abestia;mp3 datuak hemen
12;Formation;3.26;Formation.jpg;Abestia;mp3 datuak hemen
13;Erase;3.48;Erase.jpg;Abestia;mp3 datuak hemen
14;Castle on the Hill;4.21;CastleOnTheHill.jpg;Abestia;mp3 datuak hemen
15;Dive;3.58;Dive.jpg;Abestia;mp3 datuak hemen
16;Shape of You;3.53;ShapeOfYou.jpg;Abestia;mp3 datuak hemen
17;Perfect;4.23;Perfect.jpg;Abestia;mp3 datuak hemen
18;Galway Girl;2.50;GalwayGirl.jpg;Abestia;mp3 datuak hemen
19;Happier;3.27;Happier.jpg;Abestia;mp3 datuak hemen
20;New Man;3.09;NewMan.jpg;Abestia;mp3 datuak hemen
21;Hearts Dont Break Around Here;4.08;HeartsDontBreakAroundHere.jpg;Abestia;mp3 datuak hemen
22;What Do I Know?;3.57;WhatDoIKnow.jpg;Abestia;mp3 datuak hemen
23;How Would You Feel (Paean);4.40;HowWouldYouFeel.jpg;Abestia;mp3 datuak hemen
24;Supermarket Flowers;3.41;SupermarketFlowers.jpg;Abestia;mp3 datuak hemen
25;Barcelona;3.11;Barcelona.jpg;Abestia;mp3 datuak hemen
26;Bibia Be Ye Ye;2.56;BibiaBeYeYe.jpg;Abestia;mp3 datuak hemen
27;Nancy Mulligan;2.59;NancyMulligan.jpg;Abestia;mp3 datuak hemen
28;Save Myself;4.07;SaveMyself.jpg;Abestia;mp3 datuak hemen
29;Saoko;2.18;saoko.jpg;Abestia;mp3 datuak hemen
30;Perra;3.45;perra.jpg;Abestia;mp3 datuak hemen
31;Blessed;3.12;blessed.jpg;Abestia;mp3 datuak hemen
32;Chicken Teriyaki;2.59;chicken_teriyaki.jpg;Abestia;mp3 datuak hemen
33;Cuando Te Besé;3.33;cuando_te_bese.jpg;Abestia;mp3 datuak hemen
34;Quién Manda;2.48;quien_manda.jpg;Abestia;mp3 datuak hemen
35;Viene y Va;3.20;viene_y_va.jpg;Abestia;mp3 datuak hemen
36;Compartir;3.56;compartir.jpg;Abestia;mp3 datuak hemen
37;Hasta Abajo;2.55;hasta_abajo.jpg;Abestia;mp3 datuak hemen
38;Crisálida;3.07;crisalida.jpg;Abestia;mp3 datuak hemen
39;Motomami;3.33;motomami.jpg;Abestia;mp3 datuak hemen
40;Club Sauna;2.36;club_sauna.jpg;Abestia;mp3 datuak hemen
41;Te Ví;3.29;te_vi.jpg;Abestia;mp3 datuak hemen
42;Planto Bandera;3.17;planto_bandera.jpg;Abestia;mp3 datuak hemen
43;Limosna;2.45;limosna.jpg;Abestia;mp3 datuak hemen
44;Hotter;2.49;hotter.jpg;Abestia;mp3 datuak hemen
45;Real o No Real;2.51;real_o_no_real.jpg;Abestia;mp3 datuak hemen
46;¿Y si fuera ella?;5.23;ySiFueraElla.jpg;Abestia;mp3 datuak hemen
47;Ese último momento;4.55;EseUltimoMomento.jpg;Abestia;mp3 datuak hemen
48;Corazón partío;5.44;CorazonPartio.jpg;Abestia;mp3 datuak hemen
49;Amiga mía;5.11;AmigaMia.jpg;Abestia;mp3 datuak hemen
50;Aquello que me diste;5.00;AquelloQueMeDiste.jpg;Abestia;mp3 datuak hemen
51;Siempre es de noche;4.52;SiempreEsDeNoche.jpg;Abestia;mp3 datuak hemen
52;La fuerza del corazón;5.32;LaFuerzaDelCorazon.jpg;Abestia;mp3 datuak hemen
53;Se le apagó la luz;4.49;SeLeApagoLaLuz.jpg;Abestia;mp3 datuak hemen
54;Hoy que no estás;4.50;HoyQueNoEstas.jpg;Abestia;mp3 datuak hemen
